,tour_name,itinerary,inclusions,departure
0,Tour Sapa 3N2Đ,"Chinh phục đỉnh Fansipan, tham quan bản Cát Cát.","Xe đưa đón, Khách sạn 4 sao, Ăn sáng","Hàng tuần vào Thứ 6"
1,Tour Phú Quốc,"Nghỉ dưỡng biển xanh, tham quan đảo Hòn Thơm.","Vé máy bay, Resort ven biển, Ăn sáng","Tháng 6, 7, 8"
2,Tour Đà Nẵng 4N3Đ,"Khám phá Bà Nà Hills, Cầu Vàng và phố cổ Hội An.","Vé máy bay, Khách sạn 4 sao, Xe đưa đón, Ăn sáng","Hàng tuần vào Thứ 5"
3,Tour Hà Giang 3N2Đ,"Khám phá cao nguyên đá Đồng Văn, đèo Mã Pí Lèng và sông Nho Quế.","Xe limousine, Homestay, Các bữa ăn","Hàng tuần vào Thứ 6"
4,Tour Hạ Long 2N1Đ,"Du thuyền khám phá vịnh Hạ Long, chèo kayak và tham quan hang Sửng Sốt.","Xe đưa đón, Du thuyền 5 sao, Các bữa ăn, Kayak","Hàng ngày"
5,Tour Đà Lạt 3N2Đ,"Tham quan hồ Xuân Hương, Langbiang, Thung lũng Tình Yêu và săn mây.","Xe đưa đón, Khách sạn 4 sao, Ăn sáng","Hàng tuần vào Thứ 5"
6,Tour Ninh Bình 2N1Đ,"Tham quan Tràng An, chùa Bái Đính và Hang Múa.","Xe đưa đón, Khách sạn 3 sao, Ăn sáng, Vé tham quan","Hàng tuần vào Thứ 7"
7,Tour Hội An 3N2Đ,"Khám phá phố cổ Hội An, làng rau Trà Quế và biển An Bàng.","Vé máy bay, Khách sạn 4 sao, Xe đưa đón, Ăn sáng","Hàng tuần vào Thứ 5"
8,Tour Huế 2N1Đ,"Tham quan Đại Nội Huế, chùa Thiên Mụ và các lăng vua Nguyễn.","Xe đưa đón, Khách sạn 3 sao, Ăn sáng, Vé tham quan","Hàng tuần vào Thứ 7"
9,Tour Quy Nhơn 3N2Đ,"Khám phá Kỳ Co, Eo Gió, Ghềnh Ráng và biển Quy Nhơn.","Vé máy bay, Khách sạn 4 sao, Cano, Ăn sáng","Tháng 4, 5, 6, 7"
10,Tour Phan Thiết 3N2Đ,"Tham quan đồi cát Mũi Né, Bàu Trắng và nghỉ dưỡng bên bờ biển.","Xe đưa đón, Resort 4 sao, Ăn sáng","Hàng tuần vào Thứ 6"
11,Tour Côn Đảo 3N2Đ,"Tham quan nghĩa trang Hàng Dương, bãi Đầm Trầu và các di tích lịch sử.","Vé máy bay, Khách sạn 4 sao, Xe đưa đón, Ăn sáng","Tháng 3, 4, 5, 6"
12,Tour Mộc Châu 2N1Đ,"Tham quan đồi chè, rừng thông Bản Áng và thác Dải Yếm.","Xe limousine, Homestay, Các bữa ăn","Hàng tuần vào Thứ 7"
13,Tour Tam Đảo 2N1Đ,"Nghỉ dưỡng tại thị trấn Tam Đảo, tham quan thác Bạc và nhà thờ đá.","Xe đưa đón, Khách sạn 3 sao, Ăn sáng","Hàng tuần vào Thứ 7"
14,Tour Cát Bà 2N1Đ,"Khám phá vịnh Lan Hạ, chèo kayak và tham quan đảo Khỉ.","Xe đưa đón, Khách sạn 4 sao, Vé tham quan, Kayak","Hàng ngày"
15,Tour Miền Tây 2N1Đ,"Trải nghiệm chợ nổi Cái Răng, miệt vườn và cuộc sống sông nước.","Xe đưa đón, Khách sạn 3 sao, Các bữa ăn","Hàng tuần vào Thứ 7"
16,Tour Phong Nha 3N2Đ,"Khám phá động Phong Nha, động Thiên Đường và suối Moọc.","Xe đưa đón, Khách sạn 3 sao, Vé tham quan, Các bữa ăn","Hàng tuần vào Thứ 6"
17,Tour Lý Sơn 3N2Đ,"Khám phá đảo Bé, cổng Tò Vò, núi Thới Lới và biển Lý Sơn.","Vé máy bay, Khách sạn 3 sao, Cano, Ăn sáng","Tháng 4, 5, 6, 7, 8"
18,Tour Y Tý 3N2Đ,"Săn mây Y Tý, khám phá ruộng bậc thang và các bản làng vùng cao.","Xe limousine, Homestay, Các bữa ăn","Tháng 9, 10, 11, 12"
19,Tour Tây Nguyên 4N3Đ,"Khám phá Buôn Đôn, hồ Lắk, thác Dray Nur và văn hóa cồng chiêng.","Xe du lịch, Khách sạn 3 sao, Các bữa ăn","Hàng tháng"
20,Tour Sapa 2N1Đ,"Tham quan bản Cát Cát, núi Hàm Rồng và ngắm cảnh thị trấn Sapa.","Xe đưa đón, Khách sạn 3 sao, Ăn sáng","Hàng tuần vào Thứ 7"
21,Tour Phú Quốc 3N2Đ,"Khám phá VinWonders, Grand World và các bãi biển nổi tiếng.","Vé máy bay, Resort 4 sao, Xe đưa đón, Ăn sáng","Tháng 6, 7, 8"
22,Tour Đà Nẵng 3N2Đ,"Tham quan Ngũ Hành Sơn, biển Mỹ Khê và Bà Nà Hills.","Vé máy bay, Khách sạn 4 sao, Xe đưa đón, Ăn sáng","Hàng tuần vào Thứ 5"
23,Tour Hà Nội 2N1Đ,"Tham quan Hồ Gươm, Văn Miếu, Hoàng thành Thăng Long và phố cổ.","Khách sạn 4 sao, Xe đưa đón, Ăn sáng, Vé tham quan","Hàng tuần vào Thứ 7"
24,Tour Nha Trang 3N2Đ,"Nghỉ dưỡng tại biển Nha Trang, tham quan Vinpearl và các đảo.","Vé máy bay, Resort 4 sao, Cano, Ăn sáng","Tháng 5, 6, 7, 8"
25,Tour Vũng Tàu 2N1Đ,"Tắm biển, tham quan tượng Chúa Kitô và ngắm hoàng hôn tại Mũi Nghinh Phong.","Xe đưa đón, Khách sạn 3 sao, Ăn sáng","Hàng tuần vào Thứ 7"
